"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","HHDI","GROSSADJ","USD_CAP","A","1994",16124.2537607675,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1995",16737.5594969423,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1996",17137.5743014069,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1997",17604.8182444825,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1998",17790.3344591256,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1999",18042.1177988147,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2000",19175.5305957314,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2001",19243.8092137803,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2002",20193.9600566045,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2003",20868.0435531989,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2004",21749.9816579794,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2005",23049.1747820827,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2006",23987.060721737,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2007",24916.3811313874,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2008",25393.9388735172,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2009",25581.2188418266,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2010",26402.0212615495,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2011",27299.6736016452,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2012",28447.4277034279,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2013",30474.3522723057,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2014",30032.2094939555,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2015",30597.0276338189,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2016",29290.3455991883,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2017",29915.5926235433,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2018",30777.4413527314,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2019",31340.072817852,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2020",33527.4215238846,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2021",33943.5393736428,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1995",16286.1626322465,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1996",16964.6884943655,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1997",17911.2646448435,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1998",18874.1084837035,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1999",19896.8481690737,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2000",22260.5407158521,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2001",23853.7539975385,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2002",25565.105484979,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2003",24508.9576889219,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2004",25477.7321736045,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2005",25671.3513664824,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2006",27660.156039757,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2007",29187.557417333,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2008",30385.7648249351,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2009",30111.7307166899,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2010",29935.4040183847,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2011",30360.1041808595,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2012",31072.643726386,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2013",31685.5544464571,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2014",31934.9987011428,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2015",32193.9574422192,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2016",33258.2891477411,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2017",34379.9581297719,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2018",36263.6231113921,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2019",38839.4703538828,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2020",40918.5299204134,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2021",44128.7618190056,"E"
"NLD","HHDI","GROSSADJ","USD_CAP","A","2022",48809.557373004,"E"
"CZE","HHDI","GROSSADJ","USD_CAP","A","1995",9322.67582838215,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1996",10167.1213360829,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1997",10574.0646615375,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1998",10535.5731694945,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1999",10952.1279772836,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2000",11911.6345302355,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2001",12989.4987144719,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2002",13688.2846122152,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2003",14254.8627028793,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2004",14875.2445846775,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2005",15267.9942358595,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2006",15930.3178213027,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2007",16992.561264787,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2008",17934.5260469879,
