LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
FIN;HHEXP;HOUSING;PC_DI;A;2018;21.29951136;
GBR;HHEXP;HOUSING;PC_DI;A;2018;21.42587236;
HUN;HHEXP;HOUSING;PC_DI;A;2018;15.72998102;
NZL;HHEXP;HOUSING;PC_DI;A;2018;22.37900383;
SVK;HHEXP;HOUSING;PC_DI;A;2018;23.45457988;
EST;HHEXP;HOUSING;PC_DI;A;2018;14.11776487;
AUS;HHEXP;HOUSING;PC_DI;A;2018;18.10749277;
DNK;HHEXP;HOUSING;PC_DI;A;2018;20.9087991;
AUT;HHEXP;HOUSING;PC_DI;A;2018;16.97132144;
JPN;HHEXP;HOUSING;PC_DI;A;2018;19.66618908;
CZE;HHEXP;HOUSING;PC_DI;A;2018;20.90491009;
NLD;HHEXP;HOUSING;PC_DI;A;2018;16.71288471;
ESP;HHEXP;HOUSING;PC_DI;A;2018;18.88753454;
KOR;HHEXP;HOUSING;PC_DI;A;2018;13.32841354;
USA;HHEXP;HOUSING;PC_DI;A;2018;15.25996604;
GRC;HHEXP;HOUSING;PC_DI;A;2018;21.35019123;E
IRL;HHEXP;HOUSING;PC_DI;A;2018;18.99779923;
POL;HHEXP;HOUSING;PC_DI;A;2018;17.45517781;
PRT;HHEXP;HOUSING;PC_DI;A;2018;16.56963561;
ITA;HHEXP;HOUSING;PC_DI;A;2018;18.93834815;
MEX;HHEXP;HOUSING;PC_DI;A;2018;14.62878018;
LUX;HHEXP;HOUSING;PC_DI;A;2018;17.01388239;
CHE;HHEXP;HOUSING;PC_DI;A;2018;19.88585235;
FRA;HHEXP;HOUSING;PC_DI;A;2018;18.52836945;
CAN;HHEXP;HOUSING;PC_DI;A;2018;19.28672438;E
RUS;HHEXP;HOUSING;PC_DI;A;2018;13.48042263;
NOR;HHEXP;HOUSING;PC_DI;A;2018;14.92468626;
SVN;HHEXP;HOUSING;PC_DI;A;2018;15.62295476;
DEU;HHEXP;HOUSING;PC_DI;A;2018;17.05761954;E
BEL;HHEXP;HOUSING;PC_DI;A;2018;17.16121365;
SWE;HHEXP;HOUSING;PC_DI;A;2018;16.79152671;
EA;HHEXP;HOUSING;PC_DI;A;2018;18.06312728;
EU;HHEXP;HOUSING;PC_DI;A;2018;18.10253647;
LVA;HHEXP;HOUSING;PC_DI;A;2018;18.99079339;
LTU;HHEXP;HOUSING;PC_DI;A;2018;13.55900926;
