Heatmap_sector_level_3_cd;GVA
1.1.1;25412,428666940705
1.1.2;25412,428666940705
1.1.3;25412,428666940705
1.2.1;25412,428666940705
1.2.2;25412,428666940705
1.2.3;25412,428666940705
1.3.1;25412,428666940705
1.4.1;25412,428666940705
1.5.1;25412,428666940705
1.6.1;25412,428666940705
1.7.1;25412,428666940705
1.7.2;25412,428666940705
1.8.1;25412,428666940705
1.9.1;25412,428666940705
1.10.1;25412,428666940705
1.10.2;25412,428666940705
1.11.1;1114151,3379523715
1.11.2;25412,428666940705
2.1.1;1114151,3379523715
2.1.2;1114151,3379523715
2.2.1;1114151,3379523715
2.2.2;1114151,3379523715
3.1.1;204696,08518654524
3.2.1;204696,08518654524
4.1.1;1114151,3379523715
5.1.1;90087,19572931205
6.1.1;8602,367888039056
7.1.1;
7.1.2;
7.1.3;
7.2.1;1114151,3379523715
8.1.1;1114151,3379523715
8.1.2;1114151,3379523715
9.1.1;1114151,3379523715
10.1.1;13399,109868235046
10.1.2;64575,77355058704
11.1.1;1114151,3379523715
