Heatmap_sector_level_3_cd;NR;ES;RM;T;OPEX;CAPEX;BA;WF
1.1.1;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.1.2;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.1.3;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.2.1;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.2.2;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.2.3;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.3.1;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.4.1;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.5.1;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.6.1;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.7.1;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.7.2;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.8.1;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.9.1;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.10.1;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.10.2;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
1.11.1;61,93933333333334;565,0840740740741;130363,72191845535;15811,182123847997;35114,47859850846;270898,8582825351;90,26891589181113;4387501,565809998
1.11.2;2065,644210526316;81,7725925925926;322166,008404092;8690,095489556279;72263,79990958146;383274,2751843462;37196,418496290884;4008852,7538088746
2.1.1;61,93933333333334;565,0840740740741;872144,8617731385;31600,179264533046;146679,25658473652;342260,6770759257;125,3189632226572;2323894,0628180644
2.1.2;61,93933333333334;565,0840740740741;748573,9689777261;43932,91459947554;187664,63272796507;424477,7040576894;127,68932332451237;4120508,9977225806
2.2.1;61,93933333333334;565,0840740740741;872144,8617731385;31600,179264533046;146679,25658473652;342260,6770759257;125,3189632226572;2323894,0628180644
2.2.2;61,93933333333334;565,0840740740741;748573,9689777261;43932,91459947554;187664,63272796507;424477,7040576894;127,68932332451237;4120508,9977225806
3.1.1;898,8590909090909;897,2848148148149;918629,0740973508;4032,471127707923;84738,69537957294;250981,54884445362;172,49461753237009;1722125,5596786737
3.2.1;898,8590909090909;897,2848148148149;7091798,232649347;22196,60684514724;1136389,5095996638;2630965,934967545;945,9100505819666;9806988,461274095
4.1.1;61,93933333333334;565,0840740740741;592722,7054813056;4514,782930866244;107173,39454144456;356991,85514935246;25,47557282838678;2371731,9541427
5.1.1;79,637;33,69814814814815;1206574,7842691848;14176,998954411842;83970,21644749284;318894,15793033154;46,05932967900165;6135785,579685263
6.1.1;175,30214285714285;109,48076923076923;40110,6900450402;614,0057488161185;15210,005200003165;162043,10647115085;7,948546802612488;226472,1385330762
7.1.1;3097,408125;;578736,7334979849;1748,6512196948472;214024,23264553945;691440,2555123087;331,9593572571474;417978,7763888889
7.1.2;3097,408125;;578736,7334979849;1748,6512196948472;214024,23264553945;691440,2555123087;331,9593572571474;417978,7763888889
7.1.3;3097,408125;;578736,7334979849;1748,6512196948472;214024,23264553945;691440,2555123087;331,9593572571474;417978,7763888889
7.2.1;1354,7733333333333;565,0840740740741;184146,31110863909;1923,4455085751931;83096,26854334075;384370,46974120435;10,555440944704985;545412,3829286317
8.1.1;61,93933333333334;565,0840740740741;3326634,234642112;45927,49950404737;838880,8979711891;2983466,3123732735;2142,966448179894;31181821,973048918
8.1.2;61,93933333333334;565,0840740740741;534200,3325962138;11245,677077347656;493243,9332076572;2068989,1589698247;57,61974775774446;6037716,803784189
9.1.1;61,93933333333334;565,0840740740741;642342,8396731202;5805,729979746495;842599,0006175545;9075681,15829922;35,61597313420312;920612,5094162159
10.1.1;61,93933333333334;32,532272727272726;155665,77084126908;13016,0396858828;27329,410240689063;100921,42109682584;2,3281674621848305;75442,34425560341
10.1.2;61,93933333333334;1410,6057692307693;668889,9897322983;91734,14770757273;346850,1851715025;921542,4924546565;123,89769638701281;2299137,0472181663
11.1.1;61,93933333333334;565,0840740740741;;;;;;
