;Country;Sector;Value_ES;Value_GVA;Value_norm_ES
0;Austria;1.2.1;22,53;4428,58;0,01
1;Belgium;1.2.1;34,96;3281,16;0,01
2;Bulgaria;1.2.1;7,73;3524,56;0,00
3;Croatia;1.2.1;10,53;14389,81;0,00
4;Cyprus;1.2.1;1,65;472,85;0,00
5;Denmark;1.2.1;36,56;25704,66;0,00
6;Estonia;1.2.1;4,00;552,10;0,01
7;Finland;1.2.1;33,83;5374,52;0,01
8;France;1.2.1;188,20;37796,45;0,00
9;Greece;1.2.1;33,50;7909,56;0,00
10;Hungary;1.2.1;20,58;984849,93;0,00
11;Ireland;1.2.1;12,33;1886,93;0,01
12;Italy;1.2.1;123,11;33785,34;0,00
13;Japan;1.2.1;219,81;6762068,76;0,00
14;Latvia;1.2.1;6,54;860,80;0,01
15;Lithuania;1.2.1;4,65;1001,10;0,00
16;Luxembourg;1.2.1;1,20;117,27;0,01
17;Malta;1.2.1;0,34;101,92;0,00
18;Netherlands;1.2.1;176,80;13425,09;0,01
19;Poland;1.2.1;154,99;48828,93;0,00
20;Portugal;1.2.1;19,30;4108,78;0,00
21;Romania;1.2.1;16,34;31188,77;0,00
22;Slovenia;1.2.1;2,91;813,32;0,00
23;Spain;1.2.1;93,31;30798,11;0,00
24;Sweden;1.2.1;28,85;69609,00;0,00
25;United Kingdom;1.2.1;38,67;11516,67;0,00
26;United States;1.2.1;914,64;174545,08;0,01
27;Austria;1.8.1;22,53;4428,58;0,01
28;Belgium;1.8.1;34,96;3281,16;0,01
29;Bulgaria;1.8.1;7,73;3524,56;0,00
30;Croatia;1.8.1;10,53;14389,81;0,00
31;Cyprus;1.8.1;1,65;472,85;0,00
32;Denmark;1.8.1;36,56;25704,66;0,00
33;Estonia;1.8.1;4,00;552,10;0,01
34;Finland;1.8.1;33,83;5374,52;0,01
35;France;1.8.1;188,20;37796,45;0,00
36;Greece;1.8.1;33,50;7909,56;0,00
37;Hungary;1.8.1;20,58;984849,93;0,00
38;Ireland;1.8.1;12,33;1886,93;0,01
39;Italy;1.8.1;123,11;33785,34;0,00
40;Japan;1.8.1;219,81;6762068,76;0,00
41;Latvia;1.8.1;6,54;860,80;0,01
42;Lithuania;1.8.1;4,65;1001,10;0,00
43;Luxembourg;1.8.1;1,20;117,27;0,01
44;Malta;1.8.1;0,34;101,92;0,00
45;Netherlands;1.8.1;176,80;13425,09;0,01
46;Poland;1.8.1;154,99;48828,93;0,00
47;Portugal;1.8.1;19,30;4108,78;0,00
48;Romania;1.8.1;16,34;31188,77;0,00
49;Slovenia;1.8.1;2,91;813,32;0,00
50;Spain;1.8.1;93,31;30798,11;0,00
51;Sweden;1.8.1;28,85;69609,00;0,00
52;United Kingdom;1.8.1;38,67;11516,67;0,00
53;United States;1.8.1;914,64;174545,08;0,01
54;Austria;1.9.1;22,53;4428,58;0,01
55;Belgium;1.9.1;34,96;3281,16;0,01
56;Bulgaria;1.9.1;7,73;3524,56;0,00
57;Croatia;1.9.1;10,53;14389,81;0,00
58;Cyprus;1.9.1;1,65;472,85;0,00
59;Denmark;1.9.1;36,56;25704,66;0,00
