;Country;Sector;Value_NR;Value_GVA;Value_norm_NR
0;Belgium;1.2.1;41,27;3281,16;0,01
1;Bulgaria;1.2.1;939,35;3524,56;0,27
2;Cyprus;1.2.1;149,40;472,85;0,32
3;Czechia;1.2.1;36,80;72645,24;0,00
4;Denmark;1.2.1;495,71;25704,66;0,02
5;France;1.2.1;3045,02;37796,45;0,08
6;Germany (until 1990 former territory of the FRG);1.2.1;210,90;24339,47;0,01
7;Greece;1.2.1;8403,00;7909,56;1,06
8;Hungary;1.2.1;279,50;984849,93;0,00
9;Latvia;1.2.1;33,66;860,80;0,04
10;Lithuania;1.2.1;68,00;1001,10;0,07
11;Malta;1.2.1;28,26;101,92;0,28
12;Netherlands;1.2.1;121,97;13425,09;0,01
13;Romania;1.2.1;739,00;31188,77;0,02
14;Slovakia;1.2.1;17,50;1342,86;0,01
15;Slovenia;1.2.1;1,80;813,32;0,00
16;Spain;1.2.1;23360,00;30798,11;0,76
17;Sweden;1.2.1;89,00;69609,00;0,00
18;United Kingdom;1.2.1;1187,10;11516,67;0,10
19;Belgium;1.8.1;41,27;3281,16;0,01
20;Bulgaria;1.8.1;939,35;3524,56;0,27
21;Cyprus;1.8.1;149,40;472,85;0,32
22;Czechia;1.8.1;36,80;72645,24;0,00
23;Denmark;1.8.1;495,71;25704,66;0,02
24;France;1.8.1;3045,02;37796,45;0,08
25;Germany (until 1990 former territory of the FRG);1.8.1;210,90;24339,47;0,01
26;Greece;1.8.1;8403,00;7909,56;1,06
27;Hungary;1.8.1;279,50;984849,93;0,00
28;Latvia;1.8.1;33,66;860,80;0,04
29;Lithuania;1.8.1;68,00;1001,10;0,07
30;Malta;1.8.1;28,26;101,92;0,28
31;Netherlands;1.8.1;121,97;13425,09;0,01
32;Romania;1.8.1;739,00;31188,77;0,02
33;Slovakia;1.8.1;17,50;1342,86;0,01
34;Slovenia;1.8.1;1,80;813,32;0,00
35;Spain;1.8.1;23360,00;30798,11;0,76
36;Sweden;1.8.1;89,00;69609,00;0,00
37;United Kingdom;1.8.1;1187,10;11516,67;0,10
38;Belgium;1.9.1;41,27;3281,16;0,01
39;Bulgaria;1.9.1;939,35;3524,56;0,27
40;Cyprus;1.9.1;149,40;472,85;0,32
41;Czechia;1.9.1;36,80;72645,24;0,00
42;Denmark;1.9.1;495,71;25704,66;0,02
43;France;1.9.1;3045,02;37796,45;0,08
44;Germany (until 1990 former territory of the FRG);1.9.1;210,90;24339,47;0,01
45;Greece;1.9.1;8403,00;7909,56;1,06
46;Hungary;1.9.1;279,50;984849,93;0,00
47;Latvia;1.9.1;33,66;860,80;0,04
48;Lithuania;1.9.1;68,00;1001,10;0,07
49;Malta;1.9.1;28,26;101,92;0,28
50;Netherlands;1.9.1;121,97;13425,09;0,01
51;Romania;1.9.1;739,00;31188,77;0,02
