;NR;ES;RM;T;OPEX;CAPEX;BA;WF
1.1.1;0,25;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.1.2;0,01;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.1.3;0,0;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.2.1;0,02;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.2.2;0,0;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.2.3;0,0;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.3.1;0,05;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.4.1;0,05;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.5.1;0,03;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.6.1;0,01;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.7.1;0,0;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.7.2;0,0;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.8.1;0,02;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.9.1;0,03;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.10.1;0,03;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.10.2;0,02;0,08;0,13;0,1;0,22;0,06;0,17;0,33
1.11.1;0,0;0,0;0,07;0,25;0,08;0,01;0,0;0,19
1.11.2;0,02;0,08;0,13;0,1;0,22;0,06;0,17;0,33
2.1.1;0,0;0,0;0,05;0,02;0,0;0,0;0,0;0,07
2.1.2;0,0;0,0;0,04;0,02;0,01;0,01;0,0;0,22
2.2.1;0,0;0,0;0,05;0,02;0,0;0,0;0,0;0,07
2.2.2;0,0;0,0;0,04;0,02;0,01;0,01;0,0;0,22
3.1.1;0,0;0,09;0,24;0,01;0,06;0,03;0,0;0,11
3.2.1;0,0;0,09;0,19;0,01;0,07;0,02;0,0;0,1
4.1.1;0,0;0,0;0,07;0,03;0,01;0,0;0,0;0,05
5.1.1;0,0;0,0;0,12;0,04;0,0;0,01;0,0;0,18
6.1.1;0,0;0,1;0,07;0,04;0,18;0,09;0,0;0,07
7.1.1;0,0;0,0;0,11;0,02;0,27;0,14;0,0;0,03
7.1.2;0,0;0,0;0,11;0,02;0,27;0,14;0,0;0,03
7.1.3;0,0;0,0;0,11;0,02;0,27;0,14;0,0;0,03
7.2.1;0,05;0,0;0,09;0,04;0,21;0,14;0,0;0,1
8.1.1;0,0;0,0;0,04;0,04;0,05;0,02;0,0;0,17
8.1.2;0,0;0,0;0,0;0,02;0,12;0,1;0,0;0,12
9.1.1;0,0;0,0;0,0;0,0;0,33;0,33;0,0;0,0
10.1.1;0,0;0,12;0,25;0,22;0,1;0,08;0,0;0,07
10.1.2;0,0;0,25;0,09;0,21;0,12;0,06;0,0;0,11
11.1.1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12.1.1;0,0;0,0;0,0;0,0;0,18;0,01;0,0;0,0
