;NR;ES;RM;T;OPEX;CAPEX;BA;WF
1.1.1;0.25;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.1.2;0.009874679213789076;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.1.3;0.0035020181513751203;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.2.1;0.017045372609572416;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.2.2;0.0027779077677159703;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.2.3;0.0027779077677159703;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.3.1;0.047662980918361436;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.4.1;0.047662980918361436;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.5.1;0.03288124195688848;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.6.1;0.01119202663250016;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.7.1;0.0;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.7.2;0.0;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.8.1;0.02023059905548737;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.9.1;0.027508477925789192;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.10.1;0.030792016693907135;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.10.2;0.024520872452914465;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
1.11.1;;0.0035258282096262846;0,08;0,14;0,07;0,01;0,0;0,22
1.11.2;0.017337687738641076;0.09835509303276317;0,11;0,06;0,15;0,04;0,17;0,33
2.1.1;;0.0035258282096262846;0,03;0,02;0,0;0,0;0,0;0,09
2.1.2;;0.0035258282096262846;0,02;0,02;0,0;0,01;0,0;0,25
2.2.1;;0.0035258282096262846;0,03;0,02;0,0;0,0;0,0;0,09
2.2.2;;0.0035258282096262846;0,02;0,02;0,0;0,01;0,0;0,25
3.1.1;;0.126443272615292;0,25;0,01;0,05;0,02;0,0;0,13
3.2.1;;0.126443272615292;0,2;0,01;0,05;0,02;0,0;0,12
4.1.1;;0.0035258282096262846;0,06;0,02;0,0;0,0;0,0;0,06
5.1.1;;0.006754949526829358;0,17;0,04;0,0;0,0;0,0;0,13
6.1.1;;0.10142990775981796;0,05;0,03;0,14;0,05;0,0;0,08
7.1.1;;;0,06;0,0;0,32;0,1;0,0;0,01
7.1.2;;;0,06;0,0;0,32;0,1;0,0;0,01
7.1.3;;;0,06;0,0;0,32;0,1;0,0;0,01
7.2.1;0.05530821085367865;0.0;0,08;0,03;0,11;0,05;0,0;0,05
8.1.1;;0.0;0,0;0,03;0,07;0,0;0,0;0,11
8.1.2;;0.0;0,0;0,01;0,15;0,09;0,0;0,06
9.1.1;;0.0;0,05;0,0;0,33;0,33;0,0;0,0
10.1.1;;0.07555981286196542;0,15;0,25;0,11;0,06;0,0;0,04
10.1.2;;0.25;0,08;0,13;0,09;0,04;0,0;0,09
12.1.1;;;;;0,17;0,01;;
